The Assassin's Blade,Sarah J. Maas,Length: 12 hrs and 52 mins
The History of the Ancient World,Susan Wise Bauer,Length: 26 hrs and 20 mins
I Want to Die but I Still Want to Eat Tteokbokki,"Baek Sehee,Anton Hur - translator",Length: 4 hrs and 41 mins
The Keeper Chronicles: The Complete Trilogy,JA Andrews,Length: 46 hrs and 32 mins
Mark of the Fool 5,J.M. Clarke,Length: 18 hrs and 30 mins
House of Flame and Shadow,Sarah J. Maas,Length: 29 hrs and 42 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 22 hrs and 38 mins
Elon Musk,Walter Isaacson,Length: 20 hrs and 39 mins
The Primal Hunter 2,Zogarth,Length: 19 hrs and 25 mins
"Mushoku Tensei: Jobless Reincarnatio, Vol. 18",理不尽な孫の手,Length: 8 hrs and 56 mins
Waifu Dungeon,Marcus Sloss,Length: 6 hrs and 3 mins
Star Wars: Temptation of the Force (The High Republic),Tessa Gratton,Length: 17 hrs and 3 mins
The Alpha's Fated Encounter,Roxie Ray,Length: 21 hrs and 54 mins
Point Nemo,Jeremy Robinson,Length: 9 hrs and 31 mins
"To Sir Phillip, with Love",Julia Quinn,Length: 11 hrs and 10 mins
The Five Year Lie,Sarina Bowen,Length: 12 hrs and 41 mins
A Wing and a Prayer,Harry H. Crosby,Length: 10 hrs and 42 mins
I'm Not the Hero: An Isekai LitRPG,SourpatchHero,Length: 17 hrs and 34 mins
Dead Man Walking,John Corwin,Length: 13 hrs and 48 mins
Ambassador for Mars,Glynn Stewart,Length: 10 hrs and 33 mins
Cherish,Tracy Wolff,Length: 17 hrs and 25 mins
The Billionaire's Mistake,Silvia Violet,Length: 6 hrs and 10 mins
The Gentle Art of Cracking Heads,John Scalzi,Length: 38 mins
"Days of Want Series, Books 1-7",T. L. Payne,Length: 43 hrs and 42 mins
Gai-Jin,James Clavell,Length: 50 hrs and 17 mins
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 22 mins
Iron Flame,Rebecca Yarros,Length: 28 hrs and 16 mins
